batch_uuid,provider_name,recipient_bank_name,amount,transaction_status,last_update
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.922499+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.872847+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.884918+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.835935+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.848311+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.860628+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.784638+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.798598+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.811282+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.744972+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.757894+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.770547+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.706375+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.719104+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.668685+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.68109+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.69354+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.632301+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.644614+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.656539+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.595271+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.607643+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.553127+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.568041+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.528565+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.54079+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.491188+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.503367+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.515997+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.454748+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.466568+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.478868+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.417377+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.429703+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.442523+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.391133+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.404892+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.34247+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.35448+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.366421+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.305903+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.318176+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.330637+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.281119+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.268979+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.243986+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.206555+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.218552+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.231247+00
6YQLVPE8VEfMcfT9udJPqEXQLO5pgOYFN2sKguM,GHIPSS Instant Payment,Standard Chartered Bank,1.00,REJECTED,2019-07-26 09:11:32.182162+00
